"","realm","area_km2","id","velocity_temp_hist_2005","velocity_temp_rcp26_2050","velocity_temp_rcp85_2050","velocity_prec_hist_2005","velocity_prec_rcp26_2050","velocity_prec_rcp85_2050","diameter","cc_Base_max","cc_rcp85_max","cc_rcp26_max","ccRT.base","ccRT.rcp85","ccRT.rcp26","TempRT.rcp85","TempRT.rcp265","PrecRT.rcp85","PrecRT.rcp26"
"1","Indo-Malay",2457,"1",1.46665516495705,1.66228634119034,2.73230266571045,0.535859912633896,0.866893336176872,0.752803966403008,55.9316508017982,1.46665516495705,2.73230266571045,1.66228634119034,38.1355155173345,20.4705179641052,33.6474224782154,20.4705179641052,33.6474224782154,74.2977631601049,64.5196455753889
"2","Indo-Malay",1417,"2",1.37642079591751,1.65549594163895,2.98715019226074,0.58367432653904,1.18317323923111,1.22327843308449,42.4756451968622,1.37642079591751,2.98715019226074,1.65549594163895,30.8594910239992,14.219454149614,25.6573538650969,14.219454149614,25.6573538650969,34.7227941309814,35.8997683420098
"4","Indo-Malay",550,"4",1.64560747146606,1.57151198387146,2.7940731048584,0.171758696436882,0.234967887401581,0.136487945914268,26.4628371420061,1.64560747146606,2.7940731048584,1.57151198387146,16.0808926799722,9.47106111718836,16.8390934422366,9.47106111718836,16.8390934422366,193.884060344993,112.62320751422
"7","Indo-Malay",381,"7",0.336740523576736,0.574726581573486,1.17656922340393,0.946252524852753,0.67949253320694,0.893464267253876,22.0250826682693,0.946252524852753,1.17656922340393,0.67949253320694,23.2761150853433,18.719750806118,32.4140172141694,18.719750806118,38.3227144426991,24.6513301936125,32.4140172141694
"8","Indo-Malay",497,"8",0.629235625267029,1.05741345882416,2.03568649291992,0.13370855152607,0.238905563950539,0.394951283931732,25.1555173616719,0.629235625267029,2.03568649291992,1.05741345882416,39.977897549899,12.3572649566435,23.7896701160252,12.3572649566435,23.7896701160252,63.6927094178533,105.294815849831
"10","Australasia",16705.220355,"10",4.38985869619581,2.78395963156665,5.09115869910629,6.83111923712271,4.42941023685314,3.6676037311554,145.841513841227,6.83111923712271,5.09115869910629,4.42941023685314,21.3495781260372,28.6460356984802,32.925718333292,28.6460356984802,52.3863608464595,39.7647959081127,32.925718333292
"11","Australasia",14291.0353127,"11",2.64230554000191,3.07040321826935,5.30555836014126,7.12985808952995,4.60197221714517,6.99119023654772,134.892221033447,7.12985808952995,6.99119023654772,4.60197221714517,18.9193416390059,19.2946002711059,29.3118286396625,25.4246983779961,43.9330639802676,19.2946002711059,29.3118286396625
"12","Australasia",40880.361862,"12",1.27513847010476,4.20089901004519,6.94532812663487,6.84289035967418,7.09002243110112,5.36524465765272,228.145772097099,6.84289035967418,6.94532812663487,7.09002243110112,33.3405564177361,32.8488111630285,32.1784274047307,32.8488111630285,54.308797129271,42.5229018720858,32.1784274047307
"13","Australasia",10857.9896503,"13",0.93282754868269,3.11721121072769,4.61534849405289,3.1242195725441,9.07720274925232,7.52417664527893,117.579002373243,3.1242195725441,7.52417664527893,9.07720274925232,37.6346795233399,15.6268264178803,12.9532197992303,25.4756498939895,37.7192927988332,15.6268264178803,12.9532197992303
"14","Australasia",10373.9762002,"14",0.498320255960737,2.54930174350739,4.09265669754573,11.2679870015099,11.9838211309342,9.98921067374093,114.928485303845,11.2679870015099,9.98921067374093,11.9838211309342,10.1995578525645,11.5052619328534,9.59030379777417,28.0816334711789,45.0823389567543,11.5052619328534,9.59030379777417
"15","Australasia",14092.0100178,"15",1.10215191657727,3.99124205112457,5.72133453992697,5.62709116018735,14.0869831580382,3.97099783787361,133.949633890754,5.62709116018735,5.72133453992697,14.0869831580382,23.8044186734473,23.4123058101168,9.50875232745065,23.4123058101168,33.5608896115464,33.7319835868965,9.50875232745065
"16","Australasia",54950.9984601,"16",0.648960281820858,2.93898821928922,3.90172447877772,7.94962134314518,8.96896158246433,6.45076249627506,264.510461536175,7.94962134314518,6.45076249627506,8.96896158246433,33.2733409704171,41.0045264709272,29.4917598993102,67.7932188638388,90.0005177972934,41.0045264709272,29.4917598993102
"17","Australasia",45907.9762679,"17",1.96780707622752,5.5421984180992,9.02957993672218,3.40107106978511,10.32172046473,5.52167959124954,241.768175744976,3.40107106978511,9.02957993672218,10.32172046473,71.0858934683338,26.7751298996463,23.4232438837222,26.7751298996463,43.6231541179456,43.7852598560984,23.4232438837222
"18","Australasia",10326.9957291,"18",0.921843056877454,4.97287215126885,7.13296310106913,5.22924922572242,9.60431990358565,6.91639822059208,114.667952543861,5.22924922572242,7.13296310106913,9.60431990358565,21.9281865511048,16.0757809789699,11.9392058672527,16.0757809789699,23.0586970780263,16.5791426240413,11.9392058672527
"19","Australasia",31537.9946366,"19",0.19468865387382,1.31350714545096,1.87081859573241,7.11837305561189,11.0284418675207,3.33401949751762,200.388178126766,7.11837305561189,3.33401949751762,11.0284418675207,28.1508396035505,60.1040810577045,18.1701259827935,107.112564833319,152.55964066946,60.1040810577045,18.1701259827935
"20","Australasia",23097.0062394,"20",0.415837128148522,1.96180063624715,2.90773242573405,6.38171186003574,8.32792297629423,5.95845177561738,171.487672177912,6.38171186003574,5.95845177561738,8.32792297629423,26.8717353492282,28.7805756655877,20.5918897984597,58.9764280441381,87.4134043028762,28.7805756655877,20.5918897984597
"21","Australasia",10050.991303,"21",0.57813186943531,3.29165940284729,4.89282386898994,4.55635116100311,11.2270842075348,4.79554574489593,113.125238522484,4.55635116100311,4.89282386898994,11.2270842075348,24.8280333374433,23.1206439372273,10.0761013662445,23.1206439372273,34.3672369093321,23.5896485072396,10.0761013662445
