"","Biorealms","vcc_Base_temp","vcc_Base_prec","vcc_SSP1_temp","vcc_SSP1_prec","vcc_SSP5_temp","vcc_SSP5_prec"
"1","Wilderness (All)",1.94754360328422,1.37701338979098,1.8626792074173,1.34378688757849,4.01126186670316,1.55092330075501
"2","AA",1.10206905245601,4.50094283924272,2.78501560562966,5.89485428070223,4.74774158158734,4.14849848907081
"3","AT",1.30721825600538,1.48026899471335,2.6335526396724,1.60171166838186,4.50884671253305,1.20359894194492
"4","IM",0.469356299045345,0.519126750710377,0.658041344478734,0.602603718791528,1.17347445650312,0.741030455548737
"5","NA1",1.89144807107436,0.928290537666978,1.68639773449051,0.815170623621555,3.91920493824351,1.19679274256992
"6","NT",2.61547086922456,0.946837863314552,2.94669831820238,0.911532770426829,4.84773261954285,1.16092532410519
"7","PA",2.21005329872648,1.70681340783072,1.63922525640021,1.68472720189777,3.88599023042773,1.77766793971247
